Planting number,Planting Name,Date,DOY,L1,L2,L3,L4,L5,L6,L7,L8,,,,,,,,,,,,,,,,,,
10,NPI_Vs_2018,2018-11-16,320,0.279097278,0.22343438,0.216721693,0.232238231,0.27048807,0.310834064,0.274350984,0.274350984,,,,,,,,,,,,,,,,,,
11,NPI_Rs_2018,2018-07-06,186,0.300325008,0.267144917,0.237661379,0.220741937,0.233483803,0.251161378,0.189355224,0.189355224,,,,,,,,,,,,,,,,,,
11,NPI_Rs_2018,2018-07-18,197,0.302167685,0.266372618,0.237594242,0.227647389,0.23911688,0.263154672,0.223707367,0.223707367,,,,,,,,,,,,,,,,,,
11,NPI_Rs_2018,2018-07-23,204,0.294642849,0.259954644,0.232830877,0.220233689,0.232121392,0.253533549,0.211750494,0.211750494,,,,,,,,,,,,,,,,,,
11,NPI_Rs_2018,2018-08-25,236,0.301710252,0.266616629,0.239871954,0.223828265,0.229067126,0.250785817,0.212114814,0.212114814,,,,,,,,,,,,,,,,,,
11,NPI_Rs_2018,2018-09-07,250,0.293107297,0.260356178,0.229476551,0.212936464,0.217157605,0.237384121,0.194494036,0.194494036,,,,,,,,,,,,,,,,,,
11,NPI_Rs_2018,2018-11-16,320,0.274156342,0.243926791,0.216552004,0.203490961,0.224272842,0.290960518,0.277879512,0.277879512,,,,,,,,,,,,,,,,,,
12,NPI_Rainf_2018,2018-07-06,186,0.316533372,0.276603282,0.240725282,0.233008009,0.243119938,0.256144143,0.190202241,0.190202241,,,,,,,,,,,,,,,,,,
12,NPI_Rainf_2018,2018-07-18,197,0.3142703,0.277726995,0.241544728,0.231388578,0.242047042,0.261333786,0.214738979,0.214738979,,,,,,,,,,,,,,,,,,
12,NPI_Rainf_2018,2018-07-23,204,0.309215366,0.272143495,0.23884874,0.226052487,0.234933811,0.25540169,0.193773469,0.193773469,,,,,,,,,,,,,,,,,,
12,NPI_Rainf_2018,2018-08-25,236,0.312925258,0.279145244,0.244337188,0.228547913,0.231787804,0.24982008,0.188703488,0.188703488,,,,,,,,,,,,,,,,,,
12,NPI_Rainf_2018,2018-09-07,250,0.305899257,0.272027299,0.236422667,0.219748903,0.223718112,0.242361057,0.187378252,0.187378252,,,,,,,,,,,,,,,,,,
12,NPI_Rainf_2018,2018-11-16,320,0.283668893,0.254212923,0.22095892,0.206984553,0.224332732,0.279301903,0.26859654,0.26859654,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
